,Unnamed: 0,customerID,gender,SeniorCitizen,Partner,Dependents,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MultipleLines,DSL,Fiber optic,Bank transfer (automatic),Credit card (automatic),Electronic check,Mailed check,Month-to-month,One year,Two year,tenure,MonthlyCharges,TotalCharges,pre,Churn
0,437,4376-KFVRS,1,0,1,1,1,1,1,1,1,1,1,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.634957525628221,1.6716300827615815,2.8296547688970333,0,0
1,2280,2754-SDJRD,0,1,0,0,1,0,0,0,1,1,1,1,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.975462804601607,1.2065554884687304,-0.5837871583073138,1,0
2,2235,9917-KWRBE,0,0,1,1,1,1,1,1,0,1,0,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.370535178173148,0.4771579233187902,0.45593849746737003,0,0
3,4460,0365-GXEZS,1,0,1,0,1,0,0,1,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.5675846280031963,0.4721391327328964,-0.3308375948196027,0,0
4,3761,9385-NXKDA,0,0,1,0,1,1,1,1,0,1,1,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.634957525628221,0.6210299201144209,1.678761347091156,0,0
5,5748,4686-UXDML,0,0,0,0,1,0,1,0,0,1,1,1,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.44522117502367314,1.1965179072969419,-0.0943238830115644,1,0
6,3568,2227-JRSJX,0,0,0,0,1,0,1,0,1,1,1,1,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.44522117502367314,1.1730968845627698,-0.11064685109453605,0,0
7,2976,4830-FAXFM,1,0,0,1,1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.5267968103433552,-1.3379713385795688,-0.7957148227538635,0,0
8,5928,1830-IPXVJ,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.1862915313699691,-1.4835162655704972,-0.4017962237058823,0,0
9,1639,4690-LLKUA,1,1,0,0,1,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.6083724456630374,-0.6370135867496957,-0.6460763269669528,0,1
10,2079,5804-HYIEZ,1,0,1,1,1,1,1,0,0,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.5533818903085388,1.4039612515138973,2.4168846091999767,0,0
11,1280,2388-LAESQ,0,1,1,0,1,1,1,1,1,1,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.634957525628221,1.69839696588635,2.7618117272797025,0,0
12,667,5533-RJFTJ,1,0,0,0,0,0,0,1,0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6968377194518764,-1.1338738547532095,-0.3379041079730884,0,0
13,3524,4706-AXVKM,0,1,0,0,1,0,0,0,0,0,1,1,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.8530993516220837,0.6929659185122358,-0.5845547667648809,1,1
14,5283,0997-YTLNY,0,0,0,1,1,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.5267968103433552,-0.5115438221023436,-0.5634229574624444,0,0
15,485,7971-HLVXI,1,0,1,1,1,0,0,0,0,0,1,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.634957525628221,0.6829283373404477,1.7742608699002438,0,0
16,6121,7337-CINUD,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.975462804601607,-1.4918809165469873,-0.9220767209010181,0,0
17,2136,1379-FRVEB,1,0,0,1,1,0,1,0,0,1,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.6899480809827195,0.9004092627291912,-0.3483119755889251,1,0
18,6501,4753-PADAS,0,0,1,0,1,0,1,1,0,1,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4310184373290156,1.3922507401468112,2.084058612686603,0,0
19,5356,5701-GUXDC,0,0,1,0,0,1,0,1,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.24128208672446785,-0.9598891144422148,-0.5521571745116798,0,0
20,6529,7235-NXZCP,1,1,0,0,1,0,0,0,0,0,0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.2201897105606532,0.3600528096479283,-0.9234087473420904,1,1
21,1242,0668-OGMHD,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.44522117502367314,-1.1907534813933425,-0.7098555591030455,0,0
22,1615,2812-REYAT,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6968377194518764,-1.473478684398709,-0.5772173329793128,0,0
23,5082,8779-YIQQA,1,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.44522117502367314,-1.4818433353751994,-0.8359465366181176,0,0
24,5389,9701-CDXHR,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7784133547715586,0.16933876738395362,0.65389117264233,0,0
25,3985,7130-CTCUS,1,1,1,0,1,1,1,0,0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.6491602633228785,-0.31915684964307056,-0.6214677028861241,0,0
26,761,1894-IGFSG,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.40443335736383207,0.8418567058937603,-0.1325688455738799,1,1
27,6125,0871-URUWO,1,0,1,0,1,0,0,1,0,1,1,1,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.7715237163024016,1.2768185566712473,-0.38039349377136333,1,1
28,6053,0057-QBUQH,0,0,0,1,1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4521108134928301,-1.3045127346736083,-0.5108192013997556,0,0
29,5547,9611-CTWIH,0,0,0,0,1,0,0,0,0,1,1,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.179401892900812,0.8485484266749524,-0.8854572821311977,1,1
30,1838,8058-DMYRU,1,1,0,0,1,0,1,0,0,0,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9007768077510817,0.8686235890185287,1.2328485634026713,0,0
31,6979,5351-QESIO,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.2609775282204942,-1.3346254781889728,-0.9831015932776054,0,0
32,4345,4302-ZYFEL,1,0,1,1,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.5125940726486977,-1.456749382445729,-0.3604808273132983,0,0
33,3553,6134-KWTBV,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2270793490298102,-1.3613923613137413,-0.34849258934364674,0,0
34,346,2034-GDRCN,0,0,0,0,1,0,0,0,0,1,1,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.2201897105606532,0.8803341003856151,-0.9180806415778009,1,1
35,3624,9544-PYPSJ,0,1,1,1,1,0,1,1,0,0,1,1,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.2270793490298102,1.0710481426495897,1.7239147857715758,0,0
36,950,4208-UFFGW,1,1,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.2201897105606532,-0.6403594471402916,-0.9555805724018894,0,1
37,3707,9537-JALFH,1,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5125940726486977,-1.4784974749846032,-0.38143202286101296,0,0
38,6633,4415-IJZTP,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.2609775282204942,0.34834229828084234,-0.9603894136213542,1,1
39,2488,4701-MLJPN,1,0,0,0,1,0,0,1,1,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.03734299842526258,-0.2957358269088981,-0.21935375471764645,0,1
40,4852,7515-LODFU,1,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5125940726486977,-1.465114033422219,-0.38161263661573464,0,0
41,2519,4927-WWOOZ,1,0,1,0,1,0,0,1,0,1,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.2201897105606532,0.9154656344868736,-0.9166131548206873,1,0
42,5400,4067-HLYQI,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.044232636894419544,0.2111620222664043,0.0924081626513112,0,0
43,1520,6184-DYUOB,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.179401892900812,-1.4885350561563913,-0.969081450567335,0,0
44,3712,9209-NWPGU,1,0,0,0,1,1,0,0,1,1,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4928986311526712,0.043869002736601596,0.25877600746931767,0,0
45,880,9851-KIELU,1,0,0,0,1,1,1,1,1,1,1,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.8938871692819248,1.5394685973330373,-0.5229428996854483,1,1
46,3510,3199-XGZCY,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.975462804601607,0.3734362512103127,-0.7336288445682865,1,0
47,6114,4226-KKDON,1,0,0,0,1,0,1,0,1,1,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.975462804601607,0.08569225761905228,-0.7588018866326205,0,0
48,3283,1085-LDWAM,0,0,1,1,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.5125940726486977,-1.4634411032269208,-0.3426226423151922,0,0
49,523,6825-UYPFK,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.36364553970399105,0.3851467625773987,-0.19996035280440627,0,1
50,1035,1767-CJKBA,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.3902306196691745,-1.3045127346736083,-0.2274587969607818,0,0
51,2246,7181-BQYBV,0,0,1,1,1,1,0,1,0,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.2609775282204942,1.2835102774524396,-0.947769027510177,1,1
52,6140,0178-CIIKR,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.179401892900812,-1.4768245447893051,-0.9678397310036234,0,0
53,4030,4256-ZWTZI,0,0,0,1,1,0,0,0,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0978262575811302,-0.43793489350923037,-0.8645286633028232,0,0
54,2255,9537-VHDTA,0,0,0,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.2609775282204942,-0.4312431727280382,-0.970910164833892,0,0
55,6304,2754-XBHTB,0,0,0,0,1,0,0,0,0,1,0,1,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9346749869417659,0.4537369005846182,-0.6715654431020496,1,1
56,5965,5975-BAICR,1,0,1,1,1,1,0,1,0,0,1,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.16659608987394273,-0.013010623903531419,-0.005845719917282003,0,0
57,5614,3301-VKTGC,1,0,1,1,1,1,1,0,0,0,0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4718062549888566,0.7163869412464082,1.5781820624305212,0,0
58,5601,2877-VDUER,0,0,1,1,0,0,0,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.12580827221410165,-0.7758667929594318,-0.3692857478559801,0,0
59,2466,7717-BICXI,1,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.145503713710128,-1.456749382445729,-0.44990721261986943,0,0
60,4914,0562-FGDCR,0,0,1,1,1,1,1,0,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.634957525628221,0.35001522847614025,1.4580964922599446,0,0
61,5086,3705-PSNGL,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5336864488125123,-1.461768173031623,-0.5738985552363018,0,1
62,888,0048-LUMLS,1,0,1,1,1,0,0,0,0,1,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.20738390753378377,0.9071009835103835,0.47235177242770277,0,0
63,123,6497-TILVL,0,0,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.016250622261448,-0.4479724746810184,-0.8358336530214165,0,0
64,3408,2108-YKQTY,0,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.138614075240971,-0.4479724746810184,-0.9257115727147918,0,1
65,3362,3658-KIBGF,0,0,0,0,1,1,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.2609775282204942,-0.30744633827598433,-0.9692394876027164,0,1
66,7011,5482-NUPNA,0,0,0,0,1,1,1,0,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.138614075240971,-0.12342401679320135,-0.8711436420695047,0,1
67,3158,7410-KTVFV,1,0,1,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.5675846280031963,-0.48644986917287325,-0.5974234967888006,0,1
68,5968,9033-EOXWV,0,0,0,0,1,0,0,0,1,1,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.8123115339622426,0.33328592652315997,-0.5999972427935845,0,1
69,5300,8821-XNHVZ,0,0,1,1,1,0,0,0,0,1,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.2609775282204942,0.5340375499589233,-0.9578833977745909,1,1
